Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
poor,1,excellent,excellent,yes,poor,medium,security,Service Based,Technical,smart worker,Mobile Applications Developer
poor,3,poor,medium,no,excellent,medium,cloud computing,Sales and Marketing,Management,hard worker,CRM Technical Developer
medium,2,medium,poor,yes,excellent,excellent,security,Testing and Maintainance Services,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,6,poor,excellent,yes,poor,medium,Business process analyst,Cloud Services,Technical,smart worker,Network Security Engineer
excellent,0,excellent,excellent,no,excellent,poor,security,Testing and Maintainance Services,Technical,smart worker,Mobile Applications Developer
poor,2,medium,poor,yes,medium,excellent,Business process analyst,Service Based,Technical,hard worker,Technical Support
excellent,1,excellent,excellent,yes,poor,excellent,developer,Finance,Management,smart worker,Mobile Applications Developer
excellent,1,poor,excellent,no,excellent,medium,security,Finance,Technical,hard worker,Network Security Engineer
medium,3,medium,medium,yes,medium,poor,security,Cloud Services,Management,hard worker,Network Security Engineer
excellent,0,medium,poor,yes,excellent,medium,Business process analyst,product development,Technical,hard worker,Mobile Applications Developer
poor,1,poor,poor,yes,excellent,medium,testing,product development,Management,smart worker,Mobile Applications Developer
medium,2,poor,excellent,yes,excellent,poor,Business process analyst,Testing and Maintainance Services,Technical,smart worker,Software Developer
medium,6,excellent,poor,yes,medium,excellent,Business process analyst,Testing and Maintainance Services,Management,smart worker,Software Engineer
excellent,6,medium,medium,yes,medium,medium,system developer,SAaS services,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,6,excellent,poor,no,excellent,medium,system developer,BPA,Technical,hard worker,Mobile Applications Developer
medium,0,poor,medium,yes,poor,poor,cloud computing,Product based,Management,hard worker,Applications Developer
poor,5,medium,poor,yes,medium,excellent,developer,Sales and Marketing,Technical,smart worker,Software Engineer
medium,2,excellent,poor,yes,excellent,medium,security,Finance,Management,hard worker,Technical Support
excellent,3,excellent,poor,yes,poor,medium,testing,Sales and Marketing,Management,smart worker,Technical Support
poor,2,excellent,poor,no,excellent,excellent,Business process analyst,Service Based,Management,smart worker,Systems Security Administrator
poor,1,excellent,medium,no,poor,poor,security,Cloud Services,Management,hard worker,UX Designer
excellent,1,excellent,poor,yes,medium,medium,developer,Product based,Management,smart worker,UX Designer
poor,0,poor,excellent,no,poor,poor,developer,Cloud Services,Technical,hard worker,UX Designer
poor,3,excellent,poor,yes,medium,excellent,security,BPA,Technical,hard worker,Software Quality Assurance (QA) / Testing
poor,3,poor,medium,yes,medium,poor,testing,Service Based,Management,hard worker,UX Designer
medium,2,medium,excellent,no,medium,medium,security,SAaS services,Management,hard worker,Mobile Applications Developer
medium,6,excellent,poor,yes,medium,excellent,testing,Web Services,Management,smart worker,Systems Security Administrator
excellent,1,medium,poor,yes,medium,excellent,cloud computing,Cloud Services,Technical,smart worker,Software Quality Assurance (QA) / Testing
poor,5,poor,excellent,no,excellent,medium,cloud computing,product development,Technical,hard worker,Mobile Applications Developer
poor,6,excellent,poor,no,poor,excellent,Business process analyst,Web Services,Technical,smart worker,CRM Technical Developer
excellent,2,medium,poor,yes,excellent,medium,Business process analyst,Sales and Marketing,Management,smart worker,UX Designer
medium,5,poor,excellent,yes,poor,poor,security,product development,Technical,hard worker,Systems Security Administrator
excellent,4,medium,excellent,yes,excellent,poor,testing,Finance,Management,smart worker,Database Developer
poor,0,excellent,excellent,no,excellent,excellent,Business process analyst,Web Services,Management,hard worker,Applications Developer
poor,0,poor,excellent,yes,poor,poor,system developer,Web Services,Technical,hard worker,Applications Developer
medium,6,poor,medium,no,medium,poor,cloud computing,SAaS services,Technical,smart worker,Software Engineer
poor,3,medium,medium,no,medium,poor,system developer,Cloud Services,Management,smart worker,Systems Security Administrator
medium,0,medium,poor,yes,medium,excellent,system developer,Finance,Management,smart worker,UX Designer
excellent,6,medium,medium,yes,excellent,medium,system developer,product development,Management,hard worker,Mobile Applications Developer
medium,2,excellent,excellent,yes,excellent,poor,testing,Finance,Management,smart worker,Mobile Applications Developer
medium,3,poor,medium,yes,excellent,medium,cloud computing,Product based,Management,hard worker,Network Security Engineer
